id,x,y,z,vx,vy,vz,mass,sfr,half_mass_rad,fof_group,mostbound_id
15238,250.0774688720703,24425.525390625,17000.095703125,-19.257762908935547,461.4228515625,1228.2574462890625,0.012133782729506493,0.0,6.379476547241211,0,5625829222
1768,22.735139846801758,26673.15625,15499.7685546875,320.4568176269531,-58.20780563354492,1014.8206787109375,0.22194711863994598,0.0,11.014901161193848,0,5683457632
16899,1329.152099609375,26854.697265625,17178.056640625,-528.98779296875,-295.0820617675781,-6.777188301086426,0.010111485607922077,0.0,1.7157729864120483,0,211405634
13402,697.6224365234375,26320.591796875,17333.763671875,-90.60298156738281,-686.0343017578125,625.8265380859375,0.014661654829978943,0.0,1.7919628620147705,0,5452162632
15045,1357.4127197265625,26733.232421875,17335.28125,-198.34461975097656,-958.8713989257812,-297.666748046875,0.012133782729506493,0.0,1.9805697202682495,0,204604334
8819,1114.275634765625,26764.822265625,19454.787109375,-241.3072967529297,-696.7703857421875,-1399.6923828125,0.027301011607050896,0.0,3.164940118789673,0,39785745
13297,235.051513671875,24867.361328125,16680.68359375,939.1632080078125,846.7517700195312,689.9635620117188,0.015167228877544403,0.0,1.2807892560958862,0,5853271712
4715,1084.7587890625,25202.55078125,18676.650390625,643.7866821289062,-322.1163024902344,430.2852478027344,0.06420793384313583,0.0,3.5369882583618164,0,201723643
9674,1245.0364990234375,26256.1640625,18726.533203125,-740.8358764648438,-767.8284301757812,-1366.8406982421875,0.023761991411447525,0.0,2.709906578063965,0,5650343145
16450,1017.7350463867188,27155.626953125,17079.880859375,76.90719604492188,-720.2756958007812,1044.1839599609375,0.010617060586810112,0.0,3.1527509689331055,0,5521339532
12382,759.1345825195312,26830.08203125,16330.6103515625,-383.4668884277344,-29.7619571685791,-40.813697814941406,0.016683951020240784,0.0,2.5801444053649902,0,307020833
7649,559.3593139648438,27494.783203125,17697.130859375,-147.84085083007812,-325.3087158203125,-718.9069213867188,0.03336790204048157,0.0,2.757782220840454,0,134349023
12682,1071.805419921875,25208.998046875,19063.482421875,72.00798034667969,-561.3533935546875,-777.5466918945312,0.016178376972675323,0.0,4.042652606964111,0,5795517932
11216,1473.8294677734375,26824.57421875,17577.37109375,225.89625549316406,-843.2929077148438,866.6673583984375,0.019211823120713234,0.0,3.0151493549346924,0,423205642
19,958.8160400390625,26127.828125,18432.1640625,-134.90277099609375,1252.725830078125,-859.1016845703125,37.701175689697266,0.0,10.940303802490234,0,113680932282
5194,582.5674438476562,26227.5078125,18305.6875,-785.5596313476562,974.2308959960938,-1235.81494140625,0.05611874535679817,0.0,2.620198965072632,0,5588119133
5642,74965.4375,24641.634765625,16913.669921875,-755.0885009765625,79.21491241455078,626.3253784179688,0.05055743083357811,0.0,2.134477138519287,0,5741509321
5441,1482.335205078125,25412.16015625,18983.482421875,204.7306671142578,-208.25537109375,-579.642578125,0.05308530107140541,0.0,2.2506296634674072,0,5680332633
